meddra_id,meddra_name,meddra_term_type
10003504,Aspiration,PT
10003525,"Aspiration pneumonia",LLT
10003533,"Aspirin asthma",LLT
10003547,Asterixis,PT
10003549,Asthenia,PT
10003552,Asthenopia,PT
10003553,Asthma,PT
10003554,"Asthma aggravated",LLT
10003560,"Asthma NOS",LLT
10003565,Asthmatic,LLT
10003566,"Asthmatic attack",LLT
10003569,Astigmatism,PT
10003571,Astrocytoma,PT
10003586,Asystole,LLT
10003591,Ataxia,PT
10003596,Ataxic,LLT
10003598,Atelectasis,PT
10003601,Atherosclerosis,LLT
10003620,Athetosis,PT
10003628,"Atonic seizures",PT
10003629,"Atonic urinary bladder",PT
10003637,Atopic,LLT
10003639,"Atopic dermatitis",LLT
10003645,Atopy,PT
10003655,"Atrial arrest",LLT
10003656,"Atrial arrhythmia",LLT
10003658,"Atrial fibrillation",PT
10003661,"Atrial fibrillation paroxysmal",LLT
10003662,"Atrial flutter",PT
10003668,"Atrial tachycardia",PT
10003671,"Atrioventricular block",PT
10003673,"Atrioventricular block complete",PT
10003674,"Atrioventricular block first degree",PT
10003677,"Atrioventricular block second degree",PT
10003685,"Atrophic gastritis",LLT
10003690,"Atrophic vaginitis",LLT
10003693,"Atrophic vulvovaginitis",PT
10003694,Atrophy,PT
10003729,"Attention concentration difficulty",LLT
10003740,"Attentiveness decreased",LLT
10003757,"Atypical pneumonia",PT
10003776,"Audiovisual hallucinations",LLT
10003778,"Auditory disorder",PT
10003785,"Auditory hallucinations",LLT
10003791,Aura,PT
10003800,"Auricular swelling",PT
10003825,"Autoimmune hemolytic anemia",LLT
10003827,"Autoimmune hepatitis",PT
10003830,Automatism,PT
10003840,"Autonomic nervous system imbalance",PT
10003846,"AV block",LLT
10003848,"AV block complete",LLT
10003850,"AV block first degree",LLT
10003851,"AV block second degree",LLT
10003853,"AV dissociation",LLT
10003861,"Avascular necrosis of bone",LLT
10003862,Avitaminosis,LLT
10003880,"Axillary vein thrombosis",PT
10003883,Azoospermia,PT
10003885,Azotaemia,PT
10003886,Azotemia,LLT
10003899,"B-cell lymphoma",PT
10003960,"B12 deficiency anemia",LLT
10003966,"Babinski sign positive",LLT
10003982,"Back discomfort",LLT
10003986,"Back injury",PT
10003988,"Back pain",PT
10003993,Backache,LLT
10003997,Bacteraemia,PT
10003999,Bacteremia,LLT
10004017,"Bacterial disease carrier",PT
10004019,"Bacterial endocarditis",LLT
10004049,"Bacterial meningitis",LLT
10004052,"Bacterial resistance",LLT
10004055,"Bacterial vaginosis",PT
10004056,Bacteriuria,PT
10004059,"Bacteriuria NOS",LLT
10004064,"Bad mood",LLT
10004070,"Balance difficulty",LLT
10004073,Balanitis,LLT
10004074,"Balanitis candida",PT
10004078,Balanoposthitis,PT
10004134,"Barrett's esophagus",LLT
10004146,"Basal cell carcinoma",PT
10004161,"Basedow's disease",LLT
10004163,"Basilar artery stenosis",PT
10004173,Basophilia,PT
10004188,"BCG infection",LLT
10004204,"Behavior disorder",LLT
10004207,"Behaviour disorder",PT
10004212,"Behcet's disease",LLT
10004222,Belching,LLT
10004223,"Bell's palsy",PT
10004243,"Benign breast neoplasm",PT
10004277,"Benign intracranial hypertension",LLT
10004398,"Benign neoplasm of skin",PT
10004446,"Benign prostatic hyperplasia",PT
10004447,"Benign prostatic hypertrophy",LLT
10004542,Bezoar,PT
10004555,Bigeminy,LLT
10004593,"Bile duct cancer",PT
10004659,"Biliary cirrhosis",PT
10004661,"Biliary cirrhosis primary",LLT
10004663,"Biliary colic",PT
10004664,"Biliary fibrosis",PT
10004665,"Biliary fistula",PT
10004670,"Biliary pain",LLT
10004672,"Biliary spasm",LLT
10004673,"Biliary stasis",LLT
10004702,Bilirubinaemia,LLT
10004705,Bilirubinemia,LLT
10004710,Bilirubinuria,PT
10004716,"Binge eating",PT
10004936,"Bipolar depression",LLT
10004961,"Birthweight low",LLT
10004966,Bite,PT
10004969,"Bizarre dreams",LLT
10004974,"Black hairy tongue",LLT
10004977,"Black stools",LLT
10004982,Blackout,LLT
10004983,"Blackout spell",LLT
10005003,"Bladder cancer",PT
10005014,"Bladder carcinoma",LLT
10005031,"Bladder constriction",LLT
10005032,"Bladder cramps",LLT
10005033,"Bladder dilatation",PT
10005038,"Bladder diverticulum",PT
10005042,"Bladder fibrosis",PT
10005052,"Bladder irritation",PT
10005056,"Bladder neoplasm",PT
10005060,"Bladder obstruction",PT
10005063,"Bladder pain",PT
10005098,Blastomycosis,PT
10005103,Bleeding,LLT
10005120,"Bleeding intermenstrual",LLT
10005134,"Bleeding tendency",LLT
10005147,"Blepharal pigmentation",PT
10005148,Blepharitis,PT
10005149,"Blepharitis allergic",PT
10005153,Blepharoconjunctivitis,LLT
10005157,Blepharoptosis,LLT
10005159,Blepharospasm,PT
10005161,Blind,LLT
10005169,Blindness,PT
10005177,"Blindness cortical",PT
10005184,"Blindness transient",PT
10005186,"Blindness unilateral",PT
10005191,Blister,PT
10005192,"Blister infected",PT
10005214,Blistering,LLT
10005216,Blisters,LLT
10005265,Bloating,LLT
10005372,"Blood blister",PT
10005493,"Blood disorder NOS",LLT
10005495,"Blood dyscrasia",LLT
10005582,"Blood hyposmosis",PT
10005603,"Blood in stool",LLT
10005746,"Blood pressure fluctuation",PT
10005873,"Bloody stool",LLT
10005876,Blotchy,LLT
10005883,"Blue vision",LLT
10005885,"Blunted affect",PT
10005886,"Blurred vision",LLT
10005888,"Blurring of vision",LLT
10005889,"Blurry vision",LLT
10005901,"Body odor",LLT
10005902,"Body odour",LLT
10005913,"Body tinea",PT
10005914,Boil,LLT
10005952,"Bone cyst",PT
10005954,"Bone development abnormal",PT
10005956,"Bone disorder",PT
10005963,"Bone formation increased",PT
10005986,"Bone marrow depression",LLT
10005993,"Bone metastases",LLT
10005994,"Bone necrosis",LLT
10006002,"Bone pain",PT
10006007,"Bone sarcoma",PT
10006012,"Bone spur",LLT
10006023,Borborygmus,LLT
10006055,"Bowel obstruction",LLT
10006056,"Bowel perforation",LLT
10006057,"Bowel sounds abnormal",LLT
10006059,"Bowen's disease",PT
10006072,"Brachial neuritis",LLT
10006093,Bradycardia,PT
10006095,"Bradycardia NOS",LLT
10006100,Bradykinesia,PT
10006101,Bradypnea,LLT
10006102,Bradypnoea,PT
10006105,"Brain abscess",PT
10006121,"Brain edema",LLT
10006126,"Brain herniation",PT
10006168,"Break through bleeding",LLT
10006171,"Breast abscess",PT
10006179,"Breast atrophy",PT
10006187,"Breast cancer",PT
10006192,"Breast cancer NOS",LLT
10006198,"Breast cancer recurrent",PT
10006220,"Breast cyst",PT
10006223,"Breast discharge",PT
10006228,"Breast discolouration",PT
10006229,"Breast disorder female",PT
10006240,"Breast engorgement",PT
10006242,"Breast enlargement",PT
10006249,"Breast fibroadenosis",LLT
10006258,"Breast induration",PT
10006262,"Breast inflammation",PT
10006264,"Breast lump",LLT
10006272,"Breast mass",PT
10006279,"Breast neoplasm",PT
10006298,"Breast pain",PT
10006300,"Breast pain male",LLT
10006312,"Breast swelling",PT
10006313,"Breast tenderness",PT
10006322,"Breath holding",PT
10006325,"Breath odor",LLT
10006326,"Breath odour",PT
10006338,"Breathing difficult",LLT
10006345,Breathlessness,LLT
10006373,"Brittle nails",LLT
10006440,"Bronchial obstruction",PT
10006443,"Bronchial spasm",LLT
10006445,Bronchiectasis,PT
10006448,Bronchiolitis,PT
10006451,Bronchitis,PT
10006458,"Bronchitis chronic",PT
10006461,"Bronchitis NOS",LLT
10006464,Bronchoconstriction,LLT
10006469,Bronchopneumonia,LLT
10006470,"Bronchopneumonia NOS",LLT
10006473,"Bronchopulmonary aspergillosis",PT
10006475,"Bronchopulmonary dysplasia",PT
10006477,Bronchorrhea,LLT
10006478,Bronchorrhoea,LLT
10006482,Bronchospasm,PT
10006486,"Bronchospasm paradoxical",PT
10006487,Bronchostenosis,PT
10006491,"Brown-Sequard syndrome",PT
10006502,Bruise,LLT
10006504,Bruising,LLT
10006514,Bruxism,PT
10006535,Bucking,LLT
10006537,"Budd-Chiari syndrome",PT
10006539,"Buffalo hump",LLT
10006549,Bulimia,LLT
10006556,"Bullous dermatitis",LLT
10006559,"Bullous eruption",LLT
10006563,"Bullous impetigo",PT
10006567,"Bullous pemphigoid",LLT
10006578,"Bundle branch block",PT
10006580,"Bundle branch block left",PT
10006582,"Bundle branch block right",PT
10006585,Bunion,LLT
10006595,"Burkitt's lymphoma",PT
10006634,Burn,LLT
10006774,"Burning eyes",LLT
10006783,"Burning rectal",LLT
10006784,"Burning sensation",PT
10006786,"Burning sensation in eye",LLT
10006789,"Burning sensation mucosal",PT
10006791,"Burning sensation skin",LLT
10006793,"Burning tongue",LLT
10006811,Bursitis,PT
10006833,"C.difficile colitis",LLT
10006895,Cachexia,PT
10006919,Caecitis,LLT
10006933,"Calcaneal spur",LLT
10006938,Calcinosis,PT
10006956,"Calcium deficiency",PT
10006958,"Calcium deposits",LLT
10006987,"Calculus bladder",PT
10007020,"Calculus renal",LLT
10007025,"Calculus ureteric",LLT
10007027,"Calculus urinary",PT
10007041,"Calve-Perthes disease",LLT
10007050,Cancer,LLT
10007136,"Candida NOS",LLT
10007142,"Candida stomatitis",LLT
10007144,"Candidal balanitis",LLT
10007152,Candidiasis,LLT
10007156,"Candidiasis of mouth",LLT
10007165,"Candidiasis respiratory",LLT
10007191,"Capillary fragility",PT
10007196,"Capillary leak syndrome",PT
10007227,"Carbon dioxide narcosis",LLT
10007246,Carboxyhaemoglobinaemia,PT
10007247,Carbuncle,PT
10007269,Carcinogenicity,PT
10007275,"Carcinoid tumour",PT
10007284,Carcinoma,LLT
10007403,"Carcinoma intestinal",LLT
10007509,"Cardiac amyloidosis",PT
10007515,"Cardiac arrest",PT
10007517,"Cardiac arrest transient",LLT
10007518,"Cardiac arrhythmia",LLT
10007545,"Cardiac dysrhythmias",LLT
10007554,"Cardiac failure",PT
10007556,"Cardiac failure acute",PT
10007557,"Cardiac failure aggravated",LLT
10007558,"Cardiac failure chronic",PT
10007559,"Cardiac failure congestive",PT
10007572,"Cardiac hypertrophy",PT
10007584,"Cardiac ischaemia",LLT
10007603,"Cardiac rupture",LLT
10007610,"Cardiac tamponade",PT
10007617,"Cardio-respiratory arrest",PT
10007625,"Cardiogenic shock",PT
10007632,Cardiomegaly,PT
10007636,Cardiomyopathy,PT
10007644,"Cardiopulmonary arrest",LLT
10007647,"Cardiovascular collapse",LLT
10007649,"Cardiovascular disorder",PT
10007697,"Carpal tunnel syndrome",PT
10007710,"Cartilage injury",PT
10007737,Cataplexy,PT
10007739,Cataract,PT
10007742,"Cataract aggravated",LLT
10007748,"Cataract cortical",PT
10007749,"Cataract diabetic",PT
10007759,"Cataract nuclear",PT
10007763,"Cataract specified",LLT
10007764,"Cataract subcapsular",PT
10007766,"Cataract traumatic",PT
10007767,"Cataract unilateral",LLT
10007771,Cataracts,LLT
10007776,Catatonia,PT
10007777,Catatonic,LLT
10007810,"Catheter related infection",LLT
10007811,"Catheter site related reaction",PT
10007821,"Cauda equina syndrome",PT
10007827,"Caustic injury",LLT
10007830,"Cavernous sinus thrombosis",PT
10007859,Cecitis,LLT
10007882,Cellulitis,PT
10007918,"Cellulitis orbital",PT
10007943,"Central nervous system disorder",LLT
10007973,"Central scotoma",LLT
10007974,"Central serous retinopathy",LLT
10007975,"Central sleep apnoea syndrome",PT
10007976,"Central vein obstruction",LLT
10008025,"Cerebellar ataxia",PT
10008027,"Cerebellar atrophy",PT
10008030,"Cerebellar haemorrhage",PT
10008072,"Cerebellar syndrome",PT
10008087,"Cerebral arteritis",PT
10008088,"Cerebral artery embolism",PT
10008096,"Cerebral atrophy",PT
10008107,"Cerebral edema",LLT
10008111,"Cerebral haemorrhage",PT
10008114,"Cerebral hemorrhage",LLT
10008117,"Cerebral infarct",LLT
10008118,"Cerebral infarction",PT
10008120,"Cerebral ischaemia",PT
10008121,"Cerebral ischemia",LLT
10008127,"Cerebral oedema",LLT
10008129,"Cerebral palsy",PT
10008132,"Cerebral thrombosis",PT
10008164,"Cerebrospinal fluid leakage",PT
10008190,"Cerebrovascular accident",PT
10008196,"Cerebrovascular disorder",PT
10008229,"Cervical cancer",LLT
10008260,"Cervical discharge",PT
10008263,"Cervical dysplasia",PT
10008264,"Uterine cervical erosion",LLT
10008267,"Cervical incompetence",PT
10008289,"Cervical myelopathy",LLT
10008297,"Cervical polyp",PT
10008315,"Cervical spondylosis",LLT
10008320,"Cervical uterine polyp",LLT
10008323,Cervicitis,PT
10008334,"Cervicobrachial syndrome",PT
10008342,"Cervix carcinoma",PT
10008351,"Cervix disorder",PT
10008388,Chalazion,PT
10008399,"Change of bowel habit",PT
10008400,"Change to manic state",LLT
10008405,"Chapped skin",LLT
10008406,"Character change",LLT
10008417,Cheilitis,PT
10008418,Cheilosis,PT
10008420,"Chemical burn",PT
10008469,"Chest discomfort",PT
10008472,"Chest distressed feeling of",LLT
10008477,"Chest infection",LLT
10008479,"Chest pain",PT
10008480,"Chest pain (non-cardiac)",LLT
10008486,"Chest pressure",LLT
10008487,"Chest pressure sensation",LLT
10008492,"Chest tightness",LLT
10008496,"Chest wall pain",LLT
10008501,"Cheyne-Stokes respiration",PT
10008505,Chickenpox,LLT
10008528,Chillblains,PT
10008530,Chilliness,LLT
10008531,Chills,PT
10008570,Chloasma,PT
10008585,Chloropsia,PT
10008589,Choking,PT
10008590,"Choking sensation",PT
10008593,Cholangiocarcinoma,PT
10008604,Cholangitis,PT
10008609,"Cholangitis sclerosing",PT
10008612,Cholecystitis,PT
10008614,"Cholecystitis acute",PT
10008629,Cholelithiasis,PT
10008635,Cholestasis,PT
10008639,"Cholestatic hepatitis",LLT
10008640,"Cholestatic jaundice",LLT
10008642,Cholesteatoma,PT
10008674,"Cholinergic syndrome",PT
10008684,Choluria,PT
10008690,"Chondrocalcinosis pyrophosphate",LLT
10008723,Chondrodystrophy,LLT
10008725,Chondroma,PT
10008729,Chondromalacia,PT
10008748,Chorea,PT
10008753,"Choreoathetoid movements",LLT
10008754,Choreoathetosis,PT
10008755,Chorioamnionitis,LLT
10008762,"Chorioretinal atrophy",LLT
10008766,"Chorioretinal scar",PT
10008769,Chorioretinitis,PT
10008783,"Choroidal detachment",PT
10008786,"Choroidal haemorrhage",PT
10008792,Choroiditis,PT
10008795,Chromatopsia,PT
10008796,Chromaturia,PT
10008803,Chromoblastomycosis,PT
10008827,"Chronic active hepatitis",LLT
10008841,"Chronic bronchitis",LLT
10008882,"Chronic gastritis",PT
10008908,"Chronic heart failure",LLT
10008909,"Chronic hepatitis",PT
10008910,"Chronic hepatitis B",PT
10008912,"Chronic hepatitis C",PT
10008953,"Chronic liver disease",LLT
10008958,"Chronic lymphocytic leukaemia",PT
10009015,"Chronic myeloid leukemia",LLT
10009018,"Chronic myelomonocytic leukaemia",PT
10009033,"Chronic obstructive pulmonary disease",PT
10009119,"Chronic renal failure",LLT
10009122,"Chronic renal impairment",LLT
10009137,"Chronic sinusitis",PT
10009159,"Chronic urticaria",LLT
10009167,"Chylous ascites",LLT
10009186,"Ciliary spasm",LLT
10009189,Cinchonism,PT
10009191,"Circadian rhythm sleep disorder",PT
10009192,"Circulatory collapse",PT
10009194,"Circulatory disorder peripheral",LLT
10009195,"Circulatory failure",LLT
10009201,"Circumoral paresthesia",LLT
